,country,year_x,child_mortality_rate,gdp_per_capita,population,year_y,child_mortality,continent
0,Afghanistan,2016,7.040000000000001,1929.0,34636212.0,2016,79812,Asia
1,Albania,2016,1.35,10342.0,2881064.0,2016,331,Europe
2,Algeria,2016,2.52,14331.0,40339328.0,2016,25016,Africa
3,Andorra,2016,0.27,,72563.0,2016,2,Europe
4,Angola,2016,8.25,8453.0,29154742.0,2016,98196,Africa
5,Antigua and Barbuda,2016,0.8500000000000001,,90575.0,2016,11,North America
6,Argentina,2016,1.11,18875.0,43668236.0,2016,8219,South America
7,Armenia,2016,1.34,10080.0,2865841.0,2016,575,Asia
8,Australia,2016,0.37,48845.0,24195706.0,2016,1198,Oceania
9,Austria,2016,0.35,41445.0,8736491.0,2016,305,Europe
10,Azerbaijan,2016,3.09,16645.0,9976254.0,2016,4304,Asia
11,Bahamas,2016,1.06,,395986.0,2016,73,North America
12,Bahrain,2016,0.76,41078.0,1409668.0,2016,160,Asia
13,Bangladesh,2016,3.4200000000000004,3604.0,159784576.0,2016,107595,Asia
14,Barbados,2016,1.2300000000000002,12003.0,278660.0,2016,42,North America
15,Belarus,2016,0.39,17628.0,9708111.0,2016,440,Europe
16,Belgium,2016,0.39,38766.0,11316837.0,2016,511,Europe
17,Belize,2016,1.4900000000000002,,367327.0,2016,114,North America
18,Benin,2016,9.76,2080.0,11260091.0,2016,37270,Africa
19,Bhutan,2016,3.24,,749764.0,2016,413,Asia
20,Bolivia,2016,3.69,6355.0,11263016.0,2016,7383,South America
21,Bosnia and Herzegovina,2016,0.6000000000000001,9746.0,3480985.0,2016,184,Europe
22,Botswana,2016,4.0600000000000005,15198.0,2352419.0,2016,2762,Africa
23,Brazil,2016,1.51,13873.0,206859584.0,2016,49408,South America
24,Brunei,2016,0.99,,426001.0,2016,73,Asia
25,Bulgaria,2016,0.76,17037.0,7245982.0,2016,510,Europe
26,Burkina Faso,2016,8.459999999999999,1483.0,19275504.0,2016,68633,Africa
27,Burundi,2016,7.170000000000001,665.0,10903329.0,2016,26465,Africa
28,Cambodia,2016,3.0600000000000005,3251.0,15624586.0,2016,11081,Asia
29,Cameroon,2016,7.970000000000001,2828.0,23711626.0,2016,71605,Africa
30,Canada,2016,0.49,43745.0,36113532.0,2016,2035,North America
31,Cape Verde,2016,2.14,6418.0,558399.0,2016,196,Africa
32,Central African Republic,2016,12.36,589.0,4904182.0,2016,19324,Africa
33,Chad,2016,12.73,2189.0,14592587.0,2016,75645,Africa
34,Chile,2016,0.8300000000000001,21696.0,18083880.0,2016,1840,South America
35,China,2016,0.99,12569.0,1401889664.0,2016,172480,Asia
36,Colombia,2016,1.5300000000000002,13326.0,47625960.0,2016,11137,South America
37,Comoros,2016,7.33,1702.0,746239.0,2016,1800,Africa
38,Costa Rica,2016,0.8800000000000001,14098.0,4945205.0,2016,632,North America
39,Croatia,2016,0.47,20376.0,4223748.0,2016,189,Europe
40,Cuba,2016,0.55,8000.0,11342012.0,2016,675,North America
41,Cyprus,2016,0.26,25577.0,1197889.0,2016,36,Europe
42,Denmark,2016,0.44,44836.0,5706856.0,2016,242,Europe
43,Djibouti,2016,6.420000000000001,3064.0,1023269.0,2016,1325,Africa
44,Dominica,2016,3.4000000000000004,9550.0,70098.0,2016,30,North America
45,Dominican Republic,2016,3.0700000000000003,14489.0,10527589.0,2016,7285,North America
46,Ecuador,2016,2.09,10527.0,16439588.0,2016,4925,South America
47,Egypt,2016,2.28,11351.0,99784032.0,2016,58001,Africa
48,El Salvador,2016,1.5,8280.0,6250513.0,2016,1760,North America
49,Equatorial Guinea,2016,9.090000000000002,33317.0,1398940.0,2016,3608,Africa
50,Eritrea,2016,4.45,,3365288.0,2016,4824,Africa
51,Estonia,2016,0.29,24857.0,1315928.0,2016,40,Europe
52,Eswatini,2016,7.040000000000001,7881.0,1142529.0,2016,1688,Africa
53,Ethiopia,2016,5.84,1635.0,105293232.0,2016,198370,Africa
54,Fiji,2016,2.2,,918371.0,2016,476,Oceania
55,Finland,2016,0.2299999999999999,37239.0,5495217.0,2016,134,Europe
56,France,2016,0.39,37124.0,63989320.0,2016,3188,Europe
57,Gabon,2016,4.74,18413.0,2086210.0,2016,2988,Africa
58,Gambia,2016,6.53,1788.0,2317212.0,2016,4704,Africa
59,Georgia,2016,1.07,10899.0,3771112.0,2016,575,Asia
60,Germany,2016,0.38,44689.0,82331432.0,2016,2883,Europe
61,Ghana,2016,5.88,3878.0,29554298.0,2016,44285,Africa
62,Greece,2016,0.38,22574.0,10749742.0,2016,388,Europe
63,Grenada,2016,1.6,,119973.0,2016,31,North America
64,Guatemala,2016,2.85,7221.0,16291004.0,2016,11351,North America
65,Guinea,2016,8.9,1417.0,11930991.0,2016,44608,Africa
66,Guinea-Bissau,2016,8.81,1436.0,1834554.0,2016,5597,Africa
67,Guyana,2016,3.24,,759097.0,2016,505,South America
68,Haiti,2016,6.7,1728.0,10713845.0,2016,18426,North America
69,Honduras,2016,1.87,4796.0,9460798.0,2016,3810,North America
70,Hungary,2016,0.52,23279.0,9815106.0,2016,429,Europe
71,Iceland,2016,0.21,42085.0,335677.0,2016,9,Europe
72,India,2016,4.3,6125.0,1338636288.0,2016,996481,Asia
73,Indonesia,2016,2.64,10911.0,261850176.0,2016,130935,Asia
74,Iran,2016,1.51,16783.0,83306232.0,2016,22301,Asia
75,Iraq,2016,3.12,13898.0,38697940.0,2016,31307,Asia
76,Ireland,2016,0.36,56597.0,4715791.0,2016,238,Europe
77,Israel,2016,0.36,31701.0,8159015.0,2016,644,Asia
78,Italy,2016,0.33,33419.0,60118628.0,2016,1671,Europe
79,Jamaica,2016,1.5300000000000002,7084.0,2802699.0,2016,723,North America
80,Japan,2016,0.27,37465.0,126993856.0,2016,2733,Asia
81,Jordan,2016,1.7600000000000002,11529.0,9964659.0,2016,3712,Asia
82,Kazakhstan,2016,1.14,23842.0,18078558.0,2016,4312,Asia
83,Kenya,2016,4.920000000000001,3169.0,47894668.0,2016,69055,Africa
84,Kiribati,2016,5.43,,118529.0,2016,179,Oceania
85,Kuwait,2016,0.8400000000000001,71010.0,4048090.0,2016,522,Asia
86,Kyrgyzstan,2016,2.1100000000000003,4879.0,6018303.0,2016,3406,Asia
87,Laos,2016,6.390000000000001,5859.0,6891366.0,2016,8541,Asia
88,Latvia,2016,0.4599999999999999,22092.0,1973477.0,2016,98,Europe
89,Lebanon,2016,0.81,12972.0,6258628.0,2016,889,Asia
90,Lesotho,2016,9.35,2767.0,2143876.0,2016,5185,Africa
91,Liberia,2016,6.740000000000001,829.0,4706106.0,2016,13077,Africa
92,Libya,2016,1.29,8096.0,6282202.0,2016,1682,Africa
93,Lithuania,2016,0.53,24743.0,2933676.0,2016,146,Europe
94,Luxembourg,2016,0.24,57006.0,583355.0,2016,17,Europe
95,Madagascar,2016,4.64,1381.0,25501944.0,2016,46005,Africa
96,Malawi,2016,5.510000000000001,1112.0,17405624.0,2016,29523,Africa
97,Malaysia,2016,0.8300000000000001,23053.0,31526414.0,2016,4205,Asia
98,Maldives,2016,0.8500000000000001,,454263.0,2016,67,Asia
99,Mali,2016,11.06,1594.0,18700108.0,2016,77759,Africa
100,Malta,2016,0.68,29817.0,467717.0,2016,28,Europe
101,Marshall Islands,2016,3.54,,48354.0,2016,50,Oceania
102,Mauritania,2016,8.14,3407.0,4051896.0,2016,11196,Africa
103,Mauritius,2016,1.37,18918.0,1293909.0,2016,192,Africa
104,Mexico,2016,1.46,16133.0,121519224.0,2016,35358,North America
105,Moldova,2016,1.59,6068.0,3225125.0,2016,664,Europe
106,Monaco,2016,0.34,,37090.0,2016,2,Europe
107,Mongolia,2016,1.79,12360.0,3029559.0,2016,1422,Asia
108,Montenegro,2016,0.38,17741.0,633264.0,2016,27,Europe
109,Morocco,2016,2.7100000000000004,8039.0,35107272.0,2016,15575,Africa
110,Mozambique,2016,7.13,1113.0,27696500.0,2016,83268,Africa
111,Myanmar,2016,5.08,5284.0,51892352.0,2016,47567,Asia
112,Namibia,2016,4.5200000000000005,9376.0,2323351.0,2016,3184,Africa
113,Nauru,2016,3.4600000000000004,,11463.0,2016,10,Oceania
114,Nepal,2016,3.45,2435.0,27861186.0,2016,19210,Asia
115,Netherlands,2016,0.38,45600.0,17124512.0,2016,702,Europe
116,New Zealand,2016,0.54,34295.0,4668088.0,2016,324,Oceania
117,Nicaragua,2016,1.97,5045.0,6389237.0,2016,2527,North America
118,Niger,2016,9.13,925.0,20921748.0,2016,83815,Africa
119,Nigeria,2016,10.43,5360.0,188666928.0,2016,875473,Africa
120,North Korea,2016,2.0,1742.0223388671875,25389614.0,2016,6984,Asia
121,North Macedonia,2016,1.22,12644.0,2110194.0,2016,251,Europe
122,Norway,2016,0.26,82814.0,5236591.0,2016,155,Europe
123,Oman,2016,1.07,38515.0,4398080.0,2016,968,Asia
124,Pakistan,2016,7.88,5223.0,213524848.0,2016,425462,Asia
125,Palau,2016,1.59,,17840.0,2016,5,Oceania
126,Palestine,2016,1.94,5321.3828125,4593855.0,2016,2635,Asia
127,Panama,2016,1.64,21449.0,4026338.0,2016,1294,North America
128,Papua New Guinea,2016,5.43,,8899176.0,2016,11224,Oceania
129,Paraguay,2016,1.99,8786.0,6266623.0,2016,3062,South America
130,Peru,2016,1.5300000000000002,11776.0,31132776.0,2016,8567,South America
131,Philippines,2016,2.7100000000000004,7410.0,104875272.0,2016,65850,Asia
132,Poland,2016,0.47,24838.0,38532108.0,2016,1785,Europe
133,Portugal,2016,0.35,25346.0,10332751.0,2016,307,Europe
134,Qatar,2016,0.8500000000000001,156299.0,2595175.0,2016,187,Asia
135,Romania,2016,0.9,17782.0,19797822.0,2016,1654,Europe
136,Russia,2016,0.77,23635.0,145109152.0,2016,14235,Europe
137,Rwanda,2016,3.85,1758.0,11930902.0,2016,17009,Africa
138,Saint Kitts and Nevis,2016,0.9300000000000002,,47814.0,2016,12,North America
139,Saint Lucia,2016,1.33,10233.0,176429.0,2016,50,North America
140,Saint Vincent and the Grenadines,2016,1.66,,105971.0,2016,26,North America
141,Samoa,2016,1.7300000000000002,,205559.0,2016,90,Oceania
142,San Marino,2016,0.2799999999999999,,33860.0,2016,1,Europe
143,Sao Tome and Principe,2016,3.38,3624.0,204640.0,2016,139,Africa
144,Saudi Arabia,2016,1.29,51397.0,33416272.0,2016,5225,Asia
145,Senegal,2016,4.71,2403.0,14751356.0,2016,24424,Africa
146,Serbia,2016,0.58,13184.0,7493288.0,2016,516,Europe
147,Seychelles,2016,1.4300000000000002,26624.0,100521.0,2016,24,Africa
148,Sierra Leone,2016,11.35,1619.0,7493918.0,2016,31139,Africa
149,Singapore,2016,0.2799999999999999,65729.0,5711936.0,2016,137,Asia
150,Slovakia,2016,0.5900000000000001,25364.0,5431205.0,2016,350,Europe
151,Slovenia,2016,0.2299999999999999,26908.0,2090020.0,2016,52,Europe
152,Solomon Islands,2016,2.58,,628110.0,2016,446,Oceania
153,Somalia,2016,13.25,,14292848.0,2016,74853,Africa
154,South Africa,2016,4.33,12139.0,56422272.0,2016,42080,Africa
155,South Korea,2016,0.34,36103.0,51309984.0,2016,1412,Asia
156,South Sudan,2016,9.07,,11066116.0,2016,36994,Africa
157,Spain,2016,0.33,30110.0,46473316.0,2016,1379,Europe
158,Sri Lanka,2016,0.94,11149.0,21425494.0,2016,2853,Asia
159,Sudan,2016,6.51,,39377168.0,2016,82240,Africa
160,Suriname,2016,2.0,,581462.0,2016,213,South America
161,Sweden,2016,0.29,44659.0,9953322.0,2016,329,Europe
162,Switzerland,2016,0.41,59662.0,8372902.0,2016,362,Europe
163,Syria,2016,1.9123,3091.0,18964252.0,2016,18600,Asia
164,Tajikistan,2016,4.3100000000000005,3991.0,8725326.0,2016,9903,Asia
165,Tanzania,2016,5.670000000000001,2660.0,54401804.0,2016,108529,Africa
166,Thailand,2016,1.22,15454.0,70607032.0,2016,7658,Asia
167,Togo,2016,7.57,1400.0,7661361.0,2016,18370,Africa
168,Tonga,2016,1.64,,105721.0,2016,32,Oceania
169,Trinidad and Tobago,2016,1.85,29178.0,1469334.0,2016,357,North America
170,Tunisia,2016,1.36,11073.0,11685666.0,2016,3557,Africa
171,Turkey,2016,1.27,17906.0,81019400.0,2016,15921,Asia
172,Turkmenistan,2016,5.1000000000000005,23813.0,5868568.0,2016,6071,Asia
173,Tuvalu,2016,2.53,,10876.0,2016,7,Oceania
174,Uganda,2016,5.300000000000001,1980.0,38748308.0,2016,81382,Africa
175,Ukraine,2016,0.91,9214.0,44833568.0,2016,4219,Europe
176,United Arab Emirates,2016,0.77,75876.0,8994266.0,2016,748,Asia
177,United Kingdom,2016,0.43,37334.0,65655204.0,2016,3481,Europe
178,United States,2016,0.65,53015.0,327210208.0,2016,26176,North America
179,Uruguay,2016,0.92,19468.0,3413768.0,2016,403,South America
180,Uzbekistan,2016,2.41,10381.0,31453576.0,2016,12577,Asia
181,Vanuatu,2016,2.76,,283239.0,2016,230,Oceania
182,Venezuela,2016,1.63,15219.0,30741464.0,2016,13424,South America
183,Vietnam,2016,2.16,6062.0,93126528.0,2016,34444,Asia
184,Yemen,2016,5.53,2506.0,29274010.0,2016,51064,Asia
185,Zambia,2016,6.34,3479.0,16767758.0,2016,38985,Africa
186,Zimbabwe,2016,5.640000000000001,1534.0,14452705.0,2016,27195,Africa
